iter	Logloss
137	0.2731567629
138	0.2728922838
139	0.2726742887
140	0.2724037612
141	0.2720699486
142	0.2717136498
143	0.271565842
144	0.2712520219
145	0.2709601707
146	0.2706912038
147	0.2702306582
148	0.2700241956
149	0.2698141994
150	0.2696548199
151	0.2693919863
152	0.269057128
153	0.2685526728
154	0.2682990794
155	0.2676929073
156	0.2675153191
157	0.2673209635
158	0.2670307462
159	0.2666631665
160	0.2663764772
161	0.2662077505
162	0.2657713255
163	0.2654113679
164	0.2651613565
165	0.2647426727
166	0.2643918781
167	0.2640283067
168	0.263707713
169	0.2634111679
170	0.2630167261
171	0.2627751709
172	0.2623147171
173	0.2620993577
174	0.2619323901
175	0.2616523736
176	0.2613807076
177	0.2612101743
178	0.2605773177
179	0.260411306
180	0.2601453595
181	0.2599469854
182	0.2595860226
183	0.2593106174
184	0.259178151
185	0.2588386933
186	0.2586862809
187	0.2584690666
188	0.2581776406
189	0.2579870121
190	0.2576953121
191	0.257465418
192	0.2572556137
193	0.2570546874
194	0.2567951307
195	0.2564307743
196	0.2562318091
197	0.2560560036
198	0.2559171194
199	0.255705471
200	0.2554107595
201	0.2551899668
202	0.2549455657
203	0.2546888304
204	0.2543376797
205	0.2540232877
206	0.2538439423
207	0.2536206548
208	0.2534112419
209	0.2531847444
210	0.252895909
211	0.2525352354
212	0.2522935471
213	0.2521922984
214	0.2518482582
215	0.2516841115
216	0.2514100698
217	0.251213503
218	0.2510131649
219	0.2508718547
220	0.2505167467
221	0.2503433854
222	0.2500333545
223	0.2497599307
224	0.2494563097
225	0.2492087365
226	0.2489418507
227	0.2487278456
228	0.248501447
229	0.2483522291
230	0.248133544
231	0.2478797857
232	0.2474710822
233	0.247281757
234	0.2471679587
235	0.2468768618
236	0.2467739791
237	0.2465013003
238	0.246300396
239	0.2461544202
240	0.2458251871
241	0.2456732307
242	0.2454290924
243	0.2451596199
244	0.2449939559
245	0.2448442458
246	0.2445831298
247	0.2444263216
248	0.2442066601
249	0.2440292344
250	0.2438362468
251	0.2436590646
252	0.2434857736
253	0.2432622357
254	0.2431453105
255	0.2427730471
256	0.2426340886
257	0.2425760462
258	0.2424405829
259	0.2422767557
260	0.2419336946
261	0.2416981391
262	0.2415434041
263	0.2414045813
264	0.2412223763
265	0.2408417098
266	0.2405907792
267	0.2404960477
268	0.2401508418
269	0.2400553949
270	0.2398642672
271	0.2397361705
272	0.2395374632
273	0.2393891062
274	0.239246561
275	0.2391382246
276	0.2390159381
277	0.2388335958
278	0.2384576251
279	0.2383459746
280	0.2381179133
281	0.2380334282
282	0.2377356719
283	0.2375546551
284	0.2374047004
285	0.2371893011
286	0.2368449134
287	0.2365933241
288	0.236396464
289	0.2361638756
290	0.2359387186
291	0.235806005
292	0.2356793435
293	0.235394772
294	0.2352363752
295	0.2349777372
296	0.2348485516
297	0.234745413
298	0.2343784594
299	0.2341671632
300	0.2339059333
301	0.2337273222
302	0.2334227711
303	0.2331935613
304	0.2330823801
305	0.2328181589
306	0.2326893339
307	0.2325161225
308	0.2322448596
309	0.2319851187
310	0.2318006193
311	0.2316367437
312	0.2313987272
313	0.2310000988
314	0.2308294551
315	0.2306958495
316	0.2305298065
317	0.2303769853
318	0.2301489673
319	0.2299990296
320	0.2296453788
321	0.2294219164
322	0.2291591349
323	0.2289860522
324	0.2288609565
325	0.228693419
326	0.22851238
327	0.228381681
328	0.2282385334
329	0.2278361127
330	0.2276627162
331	0.227539425
332	0.2273015075
333	0.2271227792
334	0.2269433558
335	0.2267678444
336	0.2264712421
337	0.2263101184
338	0.226166662
339	0.2259034406
340	0.2257021238
341	0.2255134664
342	0.2253498282
343	0.2252269358
344	0.225076705
345	0.2249705872
346	0.2246266398
347	0.2244236561
348	0.2242832091
349	0.2240255435
350	0.2237474808
351	0.2235764049
352	0.2234773954
353	0.2232254819
354	0.2230659149
355	0.2228932312
356	0.2227438475
357	0.2225560882
358	0.2223944425
359	0.2221355948
360	0.2220059504
361	0.2217642502
362	0.2216051007
363	0.2213442752
364	0.2211990965
365	0.2209719826
366	0.2207602637
367	0.2205384517
368	0.2203593867
369	0.2201910534
370	0.2200064502
371	0.2198189499
372	0.2196378824
373	0.2195192056
374	0.2193285337
375	0.2191308169
376	0.2189792565
377	0.2186749284
378	0.2185528155
379	0.2183052105
380	0.218115297
381	0.2179229073
382	0.2176371131
383	0.2174745649
384	0.2172940945
385	0.2171514697
386	0.2167481409
387	0.2165265912
388	0.2163036263
389	0.2161597835
390	0.216029613
391	0.2159108814
392	0.2158050568
393	0.2156820053
394	0.2155622252
395	0.2154339165
396	0.2152748294
397	0.2151581653
398	0.2150597002
399	0.2148641085
400	0.2147422963
401	0.2145257355
402	0.2144147565
403	0.2142479363
404	0.2141009153
405	0.2139634038
406	0.2137896891
407	0.2136369856
408	0.2134858002
409	0.2133586037
410	0.2132191524
411	0.2131175688
412	0.2130035383
413	0.2128764054
414	0.2127613693
415	0.2125608229
416	0.2124768396
417	0.2123617699
418	0.212279055
419	0.2121800705
420	0.2120744731
421	0.2119407666
422	0.211769873
423	0.2116849136
424	0.2115736892
425	0.2114428889
426	0.211350032
427	0.2111668745
428	0.2110711744
429	0.2109183768
430	0.2107544781
431	0.210676154
432	0.2105546674
433	0.2104276871
434	0.2103281576
435	0.2101644199
436	0.2100496235
437	0.2099530735
438	0.2097829545
439	0.2096541026
440	0.2095301454
441	0.2093847087
442	0.2092390671
443	0.2089179161
444	0.208804458
445	0.2086932183
446	0.2083658229
447	0.2081289084
448	0.2080166733
449	0.2078952387
450	0.2078003855
451	0.2076778692
452	0.2075738058
453	0.207453495
454	0.2073179207
455	0.207213148
456	0.2070946499
457	0.2069126129
458	0.2067640688
459	0.2066281647
460	0.2065234419
461	0.2064246496
462	0.2062515977
463	0.2060570344
464	0.2058805005
465	0.2057286993
466	0.2056172244
467	0.2054792595
468	0.2053789112
469	0.2052366595
470	0.2050283017
471	0.2048939925
472	0.2047877938
473	0.2046935205
474	0.2045880295
475	0.204437961
476	0.2042848671
477	0.2039894621
478	0.2038369282
479	0.2036506478
480	0.2034987238
481	0.203402615
482	0.203342468
483	0.2030984115
484	0.2030214203
485	0.2029380745
486	0.202864897
487	0.2026991728
488	0.2025559837
489	0.2023802947
490	0.2023169532
491	0.2022079625
492	0.2021150911
493	0.2019081713
494	0.2017836762
495	0.2016839636
496	0.2015777136
497	0.2014463626
498	0.2013163527
499	0.2012287149
500	0.2011506559
501	0.2009683049
502	0.2007904482
503	0.2006487021
504	0.200575418
505	0.2004457257
506	0.2001898366
507	0.1999230279
508	0.1997266447
509	0.1994753689
510	0.1993438964
511	0.1992245415
512	0.1990667513
513	0.1989628153
514	0.1987793191
515	0.1986800878
516	0.1985958268
517	0.1985037101
518	0.1983617206
519	0.1981998186
520	0.1980307931
521	0.1979362313
522	0.1978196804
523	0.1977102953
524	0.1975896206
525	0.1974856849
526	0.1972794195
527	0.197144824
528	0.1970752187
529	0.1969596598
530	0.196818196
531	0.1967146727
532	0.1965604112
533	0.1963783314
534	0.1961734303
535	0.1960049911
536	0.1958884235
537	0.1957730859
538	0.1956756789
539	0.1955975918
540	0.1954993026
541	0.1953617469
542	0.1951976884
543	0.1950902081
544	0.1950058057
545	0.1948187944
546	0.1947117525
547	0.1946304736
548	0.1945502832
549	0.1944762607
550	0.1943082203
551	0.1942089354
552	0.1940914555
553	0.1940074736
554	0.193920128
555	0.1937972844
556	0.1935970716
557	0.1934592258
558	0.193360751
559	0.1932399233
560	0.1930578385
561	0.1929319988
562	0.1928549949
563	0.1927329446
564	0.1925724556
565	0.1924818567
566	0.19238532
567	0.1922086076
568	0.1920724972
569	0.1919766039
570	0.1918373933
571	0.1917607318
572	0.1916825894
573	0.1915515263
574	0.1914199486
575	0.1913413801
576	0.1911565145
577	0.1910617698
578	0.1909800707
579	0.1908780865
580	0.190777011
581	0.1906862762
582	0.1906234874
583	0.1904800906
584	0.190357402
585	0.1901941351
586	0.1899734119
587	0.1898751895
588	0.1897469057
589	0.1895757003
590	0.1894991577
591	0.1894156018
592	0.1892766025
593	0.189121642
594	0.1890173171
595	0.1888957442
596	0.1888162335
597	0.1887247038
598	0.1886668592
599	0.1885904165
600	0.1885049966
601	0.1884332879
602	0.188344021
603	0.1882280106
604	0.1881038493
605	0.1879425203
606	0.1878596313
607	0.1877640732
608	0.1876726661
609	0.1875288811
610	0.1874251717
611	0.187348894
612	0.187262631
613	0.1871539166
614	0.1871224409
615	0.1870362986
616	0.1868165319
617	0.1867423439
618	0.1865639029
619	0.1863873117
620	0.1863219749
621	0.1861692773
622	0.1861017279
623	0.1860092456
624	0.1858906958
625	0.1857436182
626	0.1856551775
627	0.1855289848
628	0.1854192236
629	0.1853148537
630	0.1852152325
631	0.1851363468
632	0.185055474
633	0.184916957
634	0.1848302598
635	0.1847235005
636	0.1846114434
637	0.1845142072
638	0.1844402725
639	0.1843389162
640	0.1841732848
641	0.1840982715
642	0.1839826034
643	0.1838925266
644	0.1837658158
645	0.1836655143
646	0.1835750372
647	0.183464582
648	0.1833723803
649	0.1832838503
650	0.1832185988
651	0.1831311971
652	0.1830220842
653	0.1828641403
654	0.1827741029
655	0.182702993
656	0.182579551
657	0.1824335482
658	0.1823231292
659	0.1822492362
660	0.1821280929
661	0.1819747278
662	0.1817742599
663	0.1816734973
664	0.1815201951
665	0.181369117
666	0.1812518331
667	0.1811628295
668	0.1810841743
669	0.180942799
670	0.1808419019
671	0.1807281307
672	0.1806061727
673	0.1804053764
674	0.1802021414
675	0.1801012749
676	0.1799934688
677	0.1798034953
678	0.1797130604
679	0.1796413574
680	0.1795156992
681	0.1794455716
682	0.179340779
683	0.1792768314
684	0.1791660201
685	0.1789951047
686	0.1789151996
687	0.1788102635
688	0.1787081654
689	0.1786605178
690	0.1785988379
691	0.1784949626
692	0.1783852597
693	0.1783234007
694	0.1782315557
695	0.1781491318
696	0.1780190514
697	0.1779349847
698	0.177849589
699	0.1777400341
700	0.1776612184
701	0.1775956646
702	0.1775213122
703	0.1773928974
704	0.1773112877
705	0.1772403591
706	0.177174123
707	0.1770848312
708	0.176979984
709	0.1768831664
710	0.176802115
711	0.1767386759
712	0.1767072602
713	0.1766355757
714	0.1765343817
715	0.1764132305
716	0.1763113074
717	0.1762468751
718	0.1761546813
719	0.1760595215
720	0.1759766305
721	0.1758990929
722	0.1758096868
723	0.1757028999
724	0.1756413346
725	0.1755433739
726	0.1754497576
727	0.1754050173
728	0.1752856297
729	0.1752253503
730	0.1751609004
731	0.1750584196
732	0.1750006327
733	0.1749254976
734	0.17482723
735	0.1747362231
736	0.1746455054
737	0.1745794261
738	0.174515631
739	0.1744262539
740	0.1743241476
741	0.1742380609
742	0.1741768087
743	0.174056142
744	0.1740129176
745	0.1739511663
746	0.173870108
747	0.1737700549
748	0.1737043069
749	0.1736498077
750	0.1735329271
751	0.1734531341
752	0.173400265
753	0.1733272727
754	0.1732049235
755	0.1731041188
756	0.1730357987
757	0.1729851608
758	0.1729009121
759	0.1728387127
760	0.1727989918
761	0.172720637
762	0.1726052505
763	0.1724468483
764	0.1723844642
765	0.1722925055
766	0.1721573627
767	0.1720784014
768	0.1720019405
769	0.171946091
770	0.1718860318
771	0.1717966998
772	0.17172874
773	0.1716596238
774	0.1715656151
775	0.1714835797
776	0.1713193166
777	0.1712783577
778	0.1711350832
779	0.1710287698
780	0.1709370922
781	0.1708310624
782	0.1707577683
783	0.1706846326
784	0.1706108666
785	0.1705207895
786	0.170405114
787	0.1703223023
788	0.1702034157
789	0.1701279619
790	0.1699753913
791	0.1698251191
792	0.1697895789
793	0.1697149658
794	0.1696422104
795	0.1695470239
796	0.1694572079
797	0.1693607316
798	0.1692520042
799	0.1691718249
800	0.1690552541
801	0.1689612864
802	0.1688611941
803	0.1687720787
804	0.1687103842
805	0.1686066244
806	0.1685402501
807	0.1683769225
808	0.1682938216
809	0.168171855
810	0.1681270912
811	0.1680311266
812	0.167976323
813	0.1678045224
814	0.1677214471
815	0.167635228
816	0.1675300517
817	0.1674493136
818	0.1673767759
819	0.1673643104
820	0.1673528722
821	0.1673251054
822	0.1672321088
823	0.1671330746
824	0.1670269614
825	0.1669532222
826	0.1668905793
827	0.1668154262
828	0.1667616576
829	0.1666890949
830	0.1666329678
831	0.1665503156
832	0.1664809836
833	0.166416468
834	0.1663393961
835	0.1662595212
836	0.1661690209
837	0.1661264823
838	0.1660666795
839	0.1659897055
840	0.1658922947
841	0.1658272763
842	0.1657578155
843	0.1657026345
844	0.1656280545
845	0.1655807541
846	0.1655413808
847	0.165456835
848	0.1653986685
849	0.1653366572
850	0.165239722
851	0.1651503745
852	0.1650908308
853	0.1649597271
854	0.1648505072
855	0.1648175871
856	0.1648088098
857	0.1647513596
858	0.1646815008
859	0.1646184561
860	0.164531037
861	0.164457577
862	0.1643333385
863	0.1643040793
864	0.1642301823
865	0.164160485
866	0.1640585372
867	0.1639289167
868	0.1638727339
869	0.1638127047
870	0.1637311777
871	0.1636759014
872	0.1636260398
873	0.1635352924
874	0.1635247393
875	0.1634583128
876	0.1634354359
877	0.1633401734
878	0.16330142
879	0.1632334242
880	0.1631694247
881	0.1630911624
882	0.1629980217
883	0.1629044984
884	0.1628338581
885	0.1627780189
886	0.1627425225
887	0.162668019
888	0.1625407985
889	0.1624883929
890	0.1624088123
891	0.1623445232
892	0.162289291
893	0.1621746812
894	0.1620966895
895	0.1620126757
896	0.1619229769
897	0.1618687267
898	0.1617931039
899	0.1617016161
900	0.161623396
901	0.161576452
902	0.1615216171
903	0.161450581
904	0.1613837021
905	0.161336696
906	0.1612507469
907	0.1612249391
908	0.1611316451
909	0.1610494968
910	0.161009227
911	0.1609651263
912	0.1608689654
913	0.1607971232
914	0.1607657766
915	0.160657312
916	0.1605736283
917	0.1604583736
918	0.1604153601
919	0.1603054371
920	0.1601788717
921	0.1601152068
922	0.1599959937
923	0.1598750986
924	0.1597933692
925	0.1597503478
926	0.1596688343
927	0.159583379
928	0.159524432
929	0.1594351889
930	0.1593485633
931	0.1592987799
932	0.1591189923
933	0.159036796
934	0.1589679559
935	0.1588797662
936	0.1588355852
937	0.1587219047
938	0.1586252801
939	0.1585236038
940	0.1584541248
941	0.1583951531
942	0.1583367189
943	0.1582593379
944	0.1581864748
945	0.1580671984
946	0.1580426029
947	0.1579989232
948	0.1579671561
949	0.1579070581
950	0.1578508602
951	0.1577680995
952	0.1577312758
953	0.1576286991
954	0.1575741511
955	0.1574802551
956	0.1573976716
957	0.157312547
958	0.1572068974
959	0.157092961
960	0.1570398458
961	0.1569783891
962	0.1569259935
963	0.1568366986
964	0.1567478908
965	0.156710198
966	0.1566518802
967	0.1565464029
968	0.1564292257
969	0.156359422
970	0.1562852273
971	0.1561977175
972	0.1561486755
973	0.1560669243
974	0.1559718652
975	0.1559118364
976	0.1558565228
977	0.1557957342
978	0.1557458258
979	0.1556267443
980	0.1555720449
981	0.1554792822
982	0.1554404539
983	0.1553953087
984	0.1553302047
985	0.1552554091
986	0.1551592387
987	0.1551126692
988	0.1550539854
989	0.1549642598
990	0.1549027871
991	0.1548334928
992	0.1546878839
993	0.1546107772
994	0.1545332764
995	0.1544509137
996	0.1543376216
997	0.1543081683
998	0.1542581426
999	0.1541862435
